what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1545827136150
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1545827136151
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1545827136153
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1545827136154
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1545827136155
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1545827136156
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1545827136158
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1545827136160
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1545827136161
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1545827136162
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1545827136163
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1545827136178
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1545827136179
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1545827136179
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1545827136180
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1545827136181
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1545827136182
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1545827136183
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1545827136184
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1545827136185
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1545827136186
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1545827136187
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1545827136188
os,sysinfo,,,"win32",1545827136193
arch,sysinfo,,,"x86",1545827136193
ws,sysinfo,,,"win32",1545827136193
locale,sysinfo,,,"en_US",1545827136193
processors,sysinfo,,,"2",1545827136193
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1545827136193
java.runtime.version,sysinfo,,,"1.8.0_192-b12",1545827136193
java.specification.name,sysinfo,,,"Java Platform API Specification",1545827136193
java.specification.vendor,sysinfo,,,"Oracle Corporation",1545827136193
java.specification.version,sysinfo,,,"1.8",1545827136193
java.vendor,sysinfo,,,"Oracle Corporation",1545827136193
java.version,sysinfo,,,"1.8.0_192",1545827136193
java.vm.info,sysinfo,,,"mixed mode",1545827136193
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1545827136193
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1545827136193
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1545827136193
java.vm.specification.version,sysinfo,,,"1.8",1545827136193
java.vm.vendor,sysinfo,,,"Oracle Corporation",1545827136193
java.vm.version,sysinfo,,,"25.192-b12",1545827136193
started,bundle,org.eclipse.epp.usagedata.ui,1.3.0.R201005261100,"org.eclipse.epp.usagedata.ui",1545827137297
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1545827137343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1545827137789
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1545827139317
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1545827142978
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1545827165906
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1545827167698
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1545827174874
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1545827198200
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1545827198570
